sp_id,name,x_rd,y_rd,capacity
new_potential_sp_0099,Sparse Area Point 0099,28509.736842105263,36042.57894736842,100
new_potential_sp_0100,Sparse Area Point 0100,28509.736842105263,39907.52631578947,100
new_potential_sp_0101,Sparse Area Point 0101,28509.736842105263,43772.47368421053,100
new_potential_sp_0102,Sparse Area Point 0102,28509.736842105263,47637.42105263158,100
new_potential_sp_0103,Sparse Area Point 0103,28509.736842105263,51502.368421052626,100
new_potential_sp_0104,Sparse Area Point 0104,28509.736842105263,55367.31578947368,100
new_potential_sp_0105,Sparse Area Point 0105,28509.736842105263,59232.26315789473,100
new_potential_sp_0106,Sparse Area Point 0106,28509.736842105263,66962.15789473684,100
new_potential_sp_0107,Sparse Area Point 0107,28509.736842105263,70827.1052631579,100
new_potential_sp_0108,Sparse Area Point 0108,28509.736842105263,74692.05263157895,100
new_potential_sp_0109,Sparse Area Point 0109,28509.736842105263,78557.0,100
new_potential_sp_0110,Sparse Area Point 0110,35009.31578947368,5123.0,100
new_potential_sp_0111,Sparse Area Point 0111,35009.31578947368,8987.947368421053,100
new_potential_sp_0112,Sparse Area Point 0112,35009.31578947368,12852.894736842105,100
new_potential_sp_0113,Sparse Area Point 0113,35009.31578947368,16717.842105263157,100
new_potential_sp_0114,Sparse Area Point 0114,35009.31578947368,20582.78947368421,100
new_potential_sp_0115,Sparse Area Point 0115,35009.31578947368,24447.736842105263,100
new_potential_sp_0116,Sparse Area Point 0116,35009.31578947368,28312.684210526313,100
new_potential_sp_0117,Sparse Area Point 0117,35009.31578947368,32177.631578947367,100
new_potential_sp_0118,Sparse Area Point 0118,35009.31578947368,36042.57894736842,100
new_potential_sp_0119,Sparse Area Point 0119,35009.31578947368,43772.47368421053,100
new_potential_sp_0120,Sparse Area Point 0120,35009.31578947368,51502.368421052626,100
new_potential_sp_0121,Sparse Area Point 0121,35009.31578947368,55367.31578947368,100
new_potential_sp_0122,Sparse Area Point 0122,35009.31578947368,63097.21052631579,100
new_potential_sp_0123,Sparse Area Point 0123,35009.31578947368,66962.15789473684,100
new_potential_sp_0124,Sparse Area Point 0124,35009.31578947368,70827.1052631579,100
new_potential_sp_0125,Sparse Area Point 0125,35009.31578947368,74692.05263157895,100
new_potential_sp_0126,Sparse Area Point 0126,35009.31578947368,78557.0,100
new_potential_sp_0127,Sparse Area Point 0127,41508.89473684211,5123.0,100
new_potential_sp_0128,Sparse Area Point 0128,41508.89473684211,8987.947368421053,100
new_potential_sp_0129,Sparse Area Point 0129,41508.89473684211,12852.894736842105,100
new_potential_sp_0130,Sparse Area Point 0130,41508.89473684211,16717.842105263157,100
new_potential_sp_0131,Sparse Area Point 0131,41508.89473684211,20582.78947368421,100
new_potential_sp_0132,Sparse Area Point 0132,41508.89473684211,24447.736842105263,100
new_potential_sp_0133,Sparse Area Point 0133,41508.89473684211,28312.684210526313,100
new_potential_sp_0134,Sparse Area Point 0134,41508.89473684211,32177.631578947367,100
new_potential_sp_0135,Sparse Area Point 0135,41508.89473684211,39907.52631578947,100
new_potential_sp_0136,Sparse Area Point 0136,41508.89473684211,43772.47368421053,100
new_potential_sp_0137,Sparse Area Point 0137,41508.89473684211,47637.42105263158,100
new_potential_sp_0138,Sparse Area Point 0138,41508.89473684211,51502.368421052626,100
new_potential_sp_0139,Sparse Area Point 0139,41508.89473684211,55367.31578947368,100
new_potential_sp_0140,Sparse Area Point 0140,41508.89473684211,59232.26315789473,100
new_potential_sp_0141,Sparse Area Point 0141,41508.89473684211,63097.21052631579,100
new_potential_sp_0142,Sparse Area Point 0142,41508.89473684211,66962.15789473684,100
new_potential_sp_0143,Sparse Area Point 0143,41508.89473684211,70827.1052631579,100
new_potential_sp_0144,Sparse Area Point 0144,41508.89473684211,74692.05263157895,100
new_potential_sp_0145,Sparse Area Point 0145,41508.89473684211,78557.0,100
new_potential_sp_0146,Sparse Area Point 0146,48008.47368421053,5123.0,100
new_potential_sp_0147,Sparse Area Point 0147,48008.47368421053,8987.947368421053,100
new_potential_sp_0148,Sparse Area Point 0148,48008.47368421053,12852.894736842105,100
new_potential_sp_0149,Sparse Area Point 0149,48008.47368421053,16717.842105263157,100
new_potential_sp_0150,Sparse Area Point 0150,48008.47368421053,20582.78947368421,100
new_potential_sp_0151,Sparse Area Point 0151,48008.47368421053,24447.736842105263,100
new_potential_sp_0152,Sparse Area Point 0152,48008.47368421053,28312.684210526313,100
new_potential_sp_0153,Sparse Area Point 0153,48008.47368421053,32177.631578947367,100
new_potential_sp_0154,Sparse Area Point 0154,48008.47368421053,36042.57894736842,100
new_potential_sp_0155,Sparse Area Point 0155,48008.47368421053,39907.52631578947,100
new_potential_sp_0156,Sparse Area Point 0156,48008.47368421053,47637.42105263158,100
